MOVIE_NAME,GENRE,RATINGS,VOTING_COUNTS,DURATION
Tillu Square,ROMANCE,6.6,3400.0,137
A Brooklyn Love Story,ROMANCE,6.4,110.0,107
The Air He Breathes,ROMANCE,6.4,391.0,106
Siddharth Roy,ROMANCE,6.3,2900.0,148
Música,ROMANCE,6.4,5100.0,91
My Name Is Loh Kiwan,ROMANCE,6.7,4400.0,131
Silent Love,ROMANCE,6.4,405.0,116
Ibbani Tabbida Ileyali,ROMANCE,7.4,853.0,160
Éden & Charlie,ROMANCE,8.1,12.0,45
Five Blind Dates,ROMANCE,5.1,2000.0,83
Art of Love,ROMANCE,4.6,2400.0,99
Guilty Pleasure,ROMANCE,4.5,162.0,119
First Taste,ROMANCE,5.8,303.0,97
Bad Newz,ROMANCE,4.7,26000.0,142
Karma's a Bitch,ROMANCE,4.5,38.0,89
Ek Anjaan Rishtey Ka Guilt 3,ROMANCE,7.9,68.0,104
Reversi,ROMANCE,7.1,263.0,135
Undergrads,ROMANCE,5.3,59.0,66
"Love, Wine & Salt: A Tuscan Romance",ROMANCE,5.5,60.0,80
Previously Saved Version,ROMANCE,5.4,444.0,117
Love Switch,ROMANCE,6.1,260.0,89
Hold Me Close,ROMANCE,5.5,49.0,98
Kang Mak,ROMANCE,6.4,860.0,122
Goyo,ROMANCE,6.6,2300.0,106
The Silence of Marcos Tremmer,ROMANCE,5.9,175.0,112
Los pequeños amores,ROMANCE,6.3,358.0,95
Mr. Manhattan,ROMANCE,6.8,462.0,110
Angithee 3,ROMANCE,8.0,62.0,99
Detective Conan: The Million-Dollar Pentagram,ROMANCE,6.7,1500.0,111
Viva La Vida,ROMANCE,7.5,856.0,130
Layla,ROMANCE,6.1,412.0,100
Mai,ROMANCE,6.8,1500.0,131
Perfect Endings,ROMANCE,5.6,206.0,100
"Hello, Love, Again",ROMANCE,6.7,914.0,122
Greice,ROMANCE,6.9,133.0,110
Ipar Adalah Maut,ROMANCE,7.0,1300.0,131
She Taught Love,ROMANCE,5.3,422.0,102
Mr. Bachchan,ROMANCE,3.6,5300.0,150
Kacher Manush Dure Thuiya,ROMANCE,7.8,1100.0,144
Naam,ROMANCE,6.3,283.0,136
Dandelion,ROMANCE,5.3,411.0,113
White Snake: Afloat,ROMANCE,6.9,519.0,133
Pantaskah Aku Berhijab,ROMANCE,7.9,70.0,114
Anyone But Her,ROMANCE,4.9,292.0,93
Books & Drinks,ROMANCE,5.4,137.0,94
Murphy,ROMANCE,7.1,2400.0,136
A Circus Tale & a Love Song,ROMANCE,6.0,108.0,114
The Everything Pot,ROMANCE,7.5,35.0,90
Love at 39 Degrees,ROMANCE,5.5,1400.0,115
Bed & Breakfast,ROMANCE,6.1,214.0,83
Varshangalkku Shesham,ROMANCE,6.6,4200.0,166
Shigatsu ni nareba kanojo wa,ROMANCE,6.2,447.0,108
The Holiday Club,ROMANCE,6.6,385.0,88
Kill Me If You Dare,ROMANCE,4.6,1300.0,94
Love Lies,ROMANCE,7.1,346.0,114
Sicilian Holiday,ROMANCE,4.7,20.0,102
Svemu dodje kraj,ROMANCE,6.4,352.0,89
When in Rome,ROMANCE,6.1,762.0,98
Ask Mevsimi,ROMANCE,5.0,394.0,126
Teasing Master Takagi-san Movie,ROMANCE,6.6,328.0,119
Sweet Summer Love,ROMANCE,6.5,70.0,90
Queens of Drama,ROMANCE,6.3,207.0,114
Marry Christmas,ROMANCE,6.6,63.0,85
A Toast to Love,ROMANCE,5.7,135.0,89
Drained,ROMANCE,4.5,321.0,107
Fake Boyfriend,ROMANCE,9.0,18.0,115
Rajkumar,ROMANCE,7.4,2700.0,145
Khwaabon Ka Jhamela,ROMANCE,5.4,112.0,113
X & Y,ROMANCE,7.4,16.0,101
Krista,ROMANCE,5.7,53.0,58
El Roomie,ROMANCE,5.8,310.0,99
Bachhala Malli,ROMANCE,8.2,3900.0,140
The Groomsmen: Second Chances,ROMANCE,6.1,454.0,84
Azzamine,ROMANCE,7.0,116.0,104
My Boo,ROMANCE,6.1,711.0,125
Love Reddy,ROMANCE,8.0,2300.0,138
No Pressure,ROMANCE,5.1,1100.0,111
Aaram Aravinda Swamy,ROMANCE,9.3,329.0,132
Samana Sunrise,ROMANCE,5.0,231.0,100
"LSD 2: Love, Sex Aur Dhokha 2",ROMANCE,3.8,2800.0,119
Atashi no!,ROMANCE,7.4,5.0,102
Chanchal Haseena,ROMANCE,7.4,36.0,98
Boys on Film 24: Happy Endings,ROMANCE,7.0,29.0,174
Oshana,ROMANCE,5.7,798.0,149
Christmas in the Spotlight,ROMANCE,5.7,677.0,87
