MOVIE_NAME,GENRE,RATINGS,VOTING_COUNTS,DURATION
Tsunami Sharks,HORROR,2.7,89.0,70
A Gong,HORROR,7.3,9.0,107
The Ghost,HORROR,6.3,126.0,92
Pusaka,HORROR,5.2,181.0,90
Deadbolt,HORROR,4.6,330.0,83
The Girl Who Wore Yellow Lace,HORROR,5.2,27.0,82
American Werewolf,HORROR,2.9,118.0,67
Nyctophobia,HORROR,2.6,168.0,77
Don't Open the Door,HORROR,6.6,8400.0,87
Temurun,HORROR,4.6,348.0,86
Silent Bite,HORROR,3.7,511.0,90
Family,HORROR,6.8,33.0,95
Ba,HORROR,7.7,53.0,79
Pechi,HORROR,5.5,1500.0,110
Five Friends,HORROR,6.7,940.0,112
Shark Girl,HORROR,2.6,174.0,82
Sea of Madness,HORROR,6.9,27.0,93
Malice,HORROR,2.8,35.0,94
Haze,HORROR,6.6,50.0,76
Possessions,HORROR,3.8,860.0,89
Witch Hunter,HORROR,5.0,25.0,80
I'll Play Mother,HORROR,5.1,93.0,108
Tantra,HORROR,5.0,2400.0,136
You Shall Not Sleep Tonight,HORROR,4.1,372.0,77
Bad Fish,HORROR,3.4,325.0,84
Possession: Kerasukan,HORROR,3.6,297.0,94
Last Stop: Rocafort St.,HORROR,4.1,483.0,89
Father's Haunted House,HORROR,5.9,340.0,93
My Redneck Neighbor: Chapter 2 - Let the Games Begin,HORROR,6.6,9.0,55
Mandira,HORROR,5.9,999.0,121
Do You See What I See,HORROR,5.4,681.0,109
Mona: Jinn-2,HORROR,4.2,124.0,124
Bloody Ishq,HORROR,2.9,2200.0,138
Skeletons in the Closet,HORROR,3.0,573.0,92
Wake,HORROR,3.4,267.0,85
Dagr,HORROR,4.4,2800.0,77
Crust,HORROR,6.0,243.0,102
Spiders on a Plane,HORROR,4.9,379.0,78
Liu mang qu mo shi,HORROR,5.7,50.0,104
Tenement,HORROR,4.6,124.0,88
Aiden,HORROR,2.5,128.0,74
Director's Cut,HORROR,7.5,100.0,90
Betting with Ghost,HORROR,6.6,85.0,112
The Buildout,HORROR,4.1,91.0,70
Chainsaws Were Singing,HORROR,7.2,382.0,117
Bleeding,HORROR,6.5,25.0,98
Deadly Culture: Final Mutation,HORROR,2.8,55.0,69
Good Neighbours,HORROR,3.1,183.0,84
Shark Island,HORROR,3.2,117.0,81
Spring Garden,HORROR,4.4,195.0,90
Easter Bloody Easter,HORROR,3.3,311.0,103
Trinil,HORROR,4.5,370.0,105
The Boys,HORROR,4.7,143.0,131
Book of the Dead,HORROR,5.4,76.0,90
Killer Influence,HORROR,2.6,322.0,84
Invited,HORROR,5.2,225.0,71
Sengkolo: Malam satu suro,HORROR,6.0,58.0,100
Spithood,HORROR,5.5,1100.0,58
Wineville,HORROR,4.2,227.0,100
From Darkness,HORROR,4.9,570.0,95
A Savior Red,HORROR,5.2,253.0,87
A Halloween Feast,HORROR,5.1,793.0,103
Love Me If You Dare,HORROR,4.3,479.0,128
Z Zone,HORROR,4.0,50.0,83
The Bitter Taste,HORROR,7.5,21.0,125
Clown II,HORROR,7.5,13.0,141
Monster Awakens,HORROR,5.1,584.0,74
Ship of the Damned,HORROR,2.8,304.0,88
Dead Teenagers,HORROR,3.1,139.0,80
Perewangan,HORROR,5.5,171.0,109
Guess Who,HORROR,4.8,370.0,93
Thine Ears Shall Bleed,HORROR,6.3,1100.0,102
Scopophobia,HORROR,5.6,64.0,100
The Cursed Land,HORROR,5.5,299.0,128
Staycation,HORROR,7.0,109.0,94
History of Evil,HORROR,3.4,828.0,98
